"-17.768,10.862,4.570"
"-8.978,12.718,4.570"
"-7.779,12.718,4.570"
"-14.258,35.812,4.570"
"-18.627,37.136,4.570"
"-26.002,14.262,4.570"
"-36.985,-0.247,0.000"
"-19.892,17.831,0.000"
"-20.228,26.530,0.000"
"-31.587,48.088,0.000"
"-26.142,36.037,0.000"
"-39.873,24.996,0.000"
"-47.247,31.729,4.570"
"-25.838,16.017,0.250"
"-40.475,41.487,0.000"
"-40.475,37.521,0.000"
"-47.788,34.842,0.000"
"-40.475,48.512,0.000"
"-43.848,28.548,0.000"
"-42.669,28.548,0.000"
"-34.152,24.502,0.000"
"-32.953,24.502,0.000"
"-27.811,24.502,0.000"
"-8.137,12.718,0.000"
"-10.852,12.718,0.000"
"-19.273,25.745,0.000"
"-41.978,7.117,0.000"
"-45.012,46.816,4.570"
"-35.508,46.816,4.570"
"-32.098,46.816,4.570"
"-28.688,46.816,4.570"
"-25.378,46.816,4.570"
"-31.548,43.663,4.570"
"-21.213,38.576,4.570"
"-42.469,18.286,4.570"
"-37.782,18.286,4.570"
"-36.123,18.286,4.570"
"-20.848,19.382,4.570"
"-24.983,19.382,4.570"
"-40.475,40.275,0.000"
"-39.378,55.421,0.000"
"-41.907,1.812,0.000"
"-41.907,3.151,0.000"
"-51.183,11.482,0.000"
"-43.035,5.786,0.000"
"-43.951,0.524,0.000"
"-52.147,13.985,0.000"
"-52.147,16.805,0.000"
"-18.688,49.976,0.000"
"-3.538,49.976,0.000"
"-27.688,38.922,4.570"
"-16.127,49.687,0.250"
"-16.127,47.676,0.250"
"-16.127,46.607,0.250"
"-22.353,36.977,4.820"
"-21.753,40.027,4.820"
"-21.753,41.027,4.820"
"-30.989,38.922,4.570"
