"-35.678,50.258,0.000","-35.678,50.293,0.000","-35.678,50.293,0.000","-35.678,52.582,0.000","-35.678,52.582,0.000","-35.678,55.937,0.000","-35.678,55.937,0.000","-35.678,56.057,0.000","-35.678,56.057,0.000","-38.222,56.057,0.000","-38.222,56.057,0.000","-38.222,54.340,0.000","-38.222,54.340,0.000","-38.222,52.556,0.000","-38.222,52.556,0.000","-38.222,51.852,0.000","-38.222,51.852,0.000","-37.693,51.852,0.000","-37.693,51.852,0.000","-37.693,50.293,0.000","-37.693,50.293,0.000","-37.693,50.258,0.000","-37.693,50.258,0.000","-35.678,50.258,0.000"
"-38.209,49.956,4.570","-36.662,49.956,4.570","-36.662,49.956,4.570","-36.662,50.074,4.570","-36.662,50.074,4.570","-36.662,50.316,4.570","-36.662,50.316,4.570","-35.678,50.316,4.570","-35.678,50.316,4.570","-35.678,56.096,4.570","-35.678,56.096,4.570","-38.222,56.096,4.570","-38.222,56.096,4.570","-38.222,49.956,4.570","-38.222,49.956,4.570","-38.209,49.956,4.570",,,,,,,,
"-17.768,9.793,0.000","-16.368,9.793,0.000","-16.368,9.793,0.000","-16.368,10.208,0.000","-16.368,10.208,0.000","-11.612,10.208,0.000","-11.612,10.208,0.000","-11.612,12.718,0.000","-11.612,12.718,0.000","-16.618,12.718,0.000","-16.618,12.718,0.000","-17.768,12.718,0.000","-17.768,12.718,0.000","-17.768,9.793,0.000",,,,,,,,,,
"-18.055,37.192,0.000","-15.258,37.192,0.000","-15.258,37.192,0.000","-15.258,37.638,0.000","-15.258,37.638,0.000","-15.258,40.322,0.000","-15.258,40.322,0.000","-15.258,42.218,0.000","-15.258,42.218,0.000","-18.055,42.218,0.000","-18.055,42.218,0.000","-18.055,37.192,0.000",,,,,,,,,,,,
"-11.612,12.718,4.570","-16.768,12.718,4.570","-16.768,12.718,4.570","-17.768,12.718,4.570","-17.768,12.718,4.570","-17.768,10.208,4.570","-17.768,10.208,4.570","-11.612,10.208,4.570","-11.612,10.208,4.570","-11.612,12.718,4.570",,,,,,,,,,,,,,
"-18.067,37.074,4.570","-15.258,37.074,4.570","-15.258,37.074,4.570","-15.258,42.218,4.570","-15.258,42.218,4.570","-18.067,42.218,4.570","-18.067,42.218,4.570","-18.067,37.074,4.570",,,,,,,,,,,,,,,,
