B41,"-18.127,37.136,4.57","-19.127,37.136,4.57","-19.127,37.136,6.57","-18.127,37.136,6.57","-18.127,37.136,4.57"
B42,"-4.208,39.009,4.57","-4.208,40.009,4.57","-4.208,40.009,6.57","-4.208,39.009,6.57","-4.208,39.009,4.57"
B43,"-39.022,46.102,4.57","-39.022,45.102,4.57","-39.022,45.102,6.57","-39.022,46.102,6.57","-39.022,46.102,4.57"
B44,"-43.538,45.316,4.57","-43.538,46.316,4.57","-43.538,46.316,6.57","-43.538,45.316,6.57","-43.538,45.316,4.57"
B45,"-25.253,21.216,4.57","-24.253,21.216,4.57","-24.253,21.216,6.57","-25.253,21.216,6.57","-25.253,21.216,4.57"
B46,"-5.328,38.882,4.57","-4.328,38.882,4.57","-4.328,38.882,6.57","-5.328,38.882,6.57","-5.328,38.882,4.57"
B47,"-20.228,27.03,0.0","-20.228,26.03,0.0","-20.228,26.03,2.0","-20.228,27.03,2.0","-20.228,27.03,0.0"
B48,"-37.622,44.982,4.57","-36.622,44.982,4.57","-36.622,44.982,6.57","-37.622,44.982,6.57","-37.622,44.982,4.57"
B49,"-52.147,16.305,0.0","-52.147,17.305,0.0","-52.147,17.305,2.0","-52.147,16.305,2.0","-52.147,16.305,0.0"
B50,"-46.713,10.225,0.0","-45.713,10.225,0.0","-45.713,10.225,2.0","-46.713,10.225,2.0","-46.713,10.225,0.0"
B51,"-40.383,10.225,0.0","-39.383,10.225,0.0","-39.383,10.225,2.0","-40.383,10.225,2.0","-40.383,10.225,0.0"
B52,"-42.535,5.786,0.0","-43.535,5.786,0.0","-43.535,5.786,2.0","-42.535,5.786,2.0","-42.535,5.786,0.0"
B53,"-5.262,19.997,4.57","-5.262,18.997,4.57","-5.262,18.997,6.57","-5.262,19.997,6.57","-5.262,19.997,4.57"
B54,"-6.087,14.068,0.0","-5.087,14.068,0.0","-5.087,14.068,2.0","-6.087,14.068,2.0","-6.087,14.068,0.0"
B55,"-8.192,44.538,4.57","-8.192,43.538,4.57","-8.192,43.538,6.57","-8.192,44.538,6.57","-8.192,44.538,4.57"
B56,"-13.356,44.052,0.0","-12.356,44.052,0.0","-12.356,44.052,2.0","-13.356,44.052,2.0","-13.356,44.052,0.0"
B57,"-18.058,42.932,0.0","-18.058,43.932,0.0","-18.058,43.932,2.0","-18.058,42.932,2.0","-18.058,42.932,0.0"
B58,"-31.548,36.183,4.57","-31.548,37.183,4.57","-31.548,37.183,6.57","-31.548,36.183,6.57","-31.548,36.183,4.57"
B59,"-34.409,40.722,0.0","-35.409,40.722,0.0","-35.409,40.722,2.0","-34.409,40.722,2.0","-34.409,40.722,0.0"
B60,"-4.362,48.291,0.0","-4.362,47.291,0.0","-4.362,47.291,2.0","-4.362,48.291,2.0","-4.362,48.291,0.0"
B61,"-24.408,35.418,0.0","-25.408,35.418,0.0","-25.408,35.418,2.0","-24.408,35.418,2.0","-24.408,35.418,0.0"
B62,"-24.308,26.823,0.0","-24.308,25.823,0.0","-24.308,25.823,2.0","-24.308,26.823,2.0","-24.308,26.823,0.0"
B63,"-25.408,27.972,0.0","-24.408,27.972,0.0","-24.408,27.972,2.0","-25.408,27.972,2.0","-25.408,27.972,0.0"
B64,"-3.732,26.081,0.0","-3.732,27.081,0.0","-3.732,27.081,2.0","-3.732,26.081,2.0","-3.732,26.081,0.0"
B65,"-3.017,27.582,0.0","-2.017,27.582,0.0","-2.017,27.582,2.0","-3.017,27.582,2.0","-3.017,27.582,0.0"
B66,"-2.612,24.478,0.0","-3.612,24.478,0.0","-3.612,24.478,2.0","-2.612,24.478,2.0","-2.612,24.478,0.0"
B67,"-9.352,19.311,0.0","-9.352,18.311,0.0","-9.352,18.311,2.0","-9.352,19.311,2.0","-9.352,19.311,0.0"
B68,"-43.048,16.297,4.57","-43.048,15.297,4.57","-43.048,15.297,6.57","-43.048,16.297,6.57","-43.048,16.297,4.57"
B69,"-43.168,13.642,4.57","-44.168,13.642,4.57","-44.168,13.642,6.57","-43.168,13.642,6.57","-43.168,13.642,4.57"
B70,"-40.929,13.642,4.57","-39.929,13.642,4.57","-39.929,13.642,6.57","-40.929,13.642,6.57","-40.929,13.642,4.57"
B71,"-3.428,22.243,4.57","-3.428,23.243,4.57","-3.428,23.243,6.57","-3.428,22.243,6.57","-3.428,22.243,4.57"
B72,"-8.279,12.718,4.57","-7.279,12.718,4.57","-7.279,12.718,6.57","-8.279,12.718,6.57","-8.279,12.718,4.57"
B73,"-28.069,40.722,0.0","-29.069,40.722,0.0","-29.069,40.722,2.0","-28.069,40.722,2.0","-28.069,40.722,0.0"
B74,"-35.403,22.668,0.0","-34.403,22.668,0.0","-34.403,22.668,2.0","-35.403,22.668,2.0","-35.403,22.668,0.0"
B75,"-40.475,38.021,0.0","-40.475,37.021,0.0","-40.475,37.021,2.0","-40.475,38.021,2.0","-40.475,38.021,0.0"
B76,"-1.898,25.447,0.0","-1.898,26.447,0.0","-1.898,26.447,2.0","-1.898,25.447,2.0","-1.898,25.447,0.0"
B77,"-15.258,36.558,0.0","-15.258,37.558,0.0","-15.258,37.558,2.0","-15.258,36.558,2.0","-15.258,36.558,0.0"
B78,"-12.622,37.558,0.0","-12.622,36.558,0.0","-12.622,36.558,2.0","-12.622,37.558,2.0","-12.622,37.558,0.0"
B79,"-31.662,52.661,0.0","-31.662,53.661,0.0","-31.662,53.661,2.0","-31.662,52.661,2.0","-31.662,52.661,0.0"
B80,"-33.387,48.088,0.0","-32.387,48.088,0.0","-32.387,48.088,2.0","-33.387,48.088,2.0","-33.387,48.088,0.0"
B81,"-28.268,48.088,0.0","-27.268,48.088,0.0","-27.268,48.088,2.0","-28.268,48.088,2.0","-28.268,48.088,0.0"
B82,"-47.288,34.842,0.0","-48.288,34.842,0.0","-48.288,34.842,2.0","-47.288,34.842,2.0","-47.288,34.842,0.0"
B83,"-48.288,28.548,0.0","-47.288,28.548,0.0","-47.288,28.548,2.0","-48.288,28.548,2.0","-48.288,28.548,0.0"
B84,"-31.532,16.707,0.0","-31.532,15.707,0.0","-31.532,15.707,2.0","-31.532,16.707,2.0","-31.532,16.707,0.0"
B85,"-47.388,5.928,0.0","-47.388,6.928,0.0","-47.388,6.928,2.0","-47.388,5.928,2.0","-47.388,5.928,0.0"
B86,"-40.492,18.322,0.0","-40.492,17.322,0.0","-40.492,17.322,2.0","-40.492,18.322,2.0","-40.492,18.322,0.0"
B87,"-16.618,13.39,0.0","-16.618,14.39,0.0","-16.618,14.39,2.0","-16.618,13.39,2.0","-16.618,13.39,0.0"
B88,"-3.732,25.882,0.0","-3.732,24.882,0.0","-3.732,24.882,2.0","-3.732,25.882,2.0","-3.732,25.882,0.0"
B89,"-41.968,45.016,4.57","-40.968,45.016,4.57","-40.968,45.016,6.57","-41.968,45.016,6.57","-41.968,45.016,4.57"
B90,"-19.892,14.691,4.57","-19.892,13.691,4.57","-19.892,13.691,6.57","-19.892,14.691,6.57","-19.892,14.691,4.57"
B91,"-26.002,13.762,4.57","-26.002,14.762,4.57","-26.002,14.762,6.57","-26.002,13.762,6.57","-26.002,13.762,4.57"
B92,"-21.348,19.382,4.57","-20.348,19.382,4.57","-20.348,19.382,6.57","-21.348,19.382,6.57","-21.348,19.382,4.57"
B93,"-25.483,19.382,4.57","-24.483,19.382,4.57","-24.483,19.382,6.57","-25.483,19.382,6.57","-25.483,19.382,4.57"
B94,"-24.308,36.892,0.0","-24.308,37.892,0.0","-24.308,37.892,2.0","-24.308,36.892,2.0","-24.308,36.892,0.0"
B95,"-22.633,40.722,0.0","-23.633,40.722,0.0","-23.633,40.722,2.0","-22.633,40.722,2.0","-22.633,40.722,0.0"
B96,"-25.893,22.668,0.0","-24.893,22.668,0.0","-24.893,22.668,2.0","-25.893,22.668,2.0","-25.893,22.668,0.0"
