N91,C91,"-30.745,52.292,0","T285,T286,T287,T288"
N92,C92,"-33.5271,45.8367,0",T289
N93,C93,"-27.8641,45.8308,0",T290
N94,C94,"-49.315667,35.790444,0",T291
N95,C95,"-49.315667,27.597778,0",T292
N96,C96,"-33.248889,17.9,0",T293
N97,C97,"-45.3307,5.8668,0",T294
N98,C98,"-23.087714,4.630571,0","T295,T296,T297"
N99,C99,"-41.651375,16.592,0","T298,T299"
N100,C100,"-12.722571,13.504,0","T300,T301,T302"
N101,C101,"-4.930444,24.156444,0",T303
N102,C102,"-41.763,43.9742,4.57",T304
N103,C103,"-23.361111,11.560667,4.57","T305,T306"
N104,C104,"-23.6252,18.0676,4.57","T307,T308"
N105,C105,"-21.877,36.6011,0",T309
N106,C106,"-21.880857,43.038429,0","T310,T311"
N107,C107,"-23.69575,20.163125,0",T312
N108,C108,"-34.496778,27.453556,0",T313
N109,C109,"-46.15825,48.90775,4.57",T314
N110,C110,"-41.719889,48.296,4.57",
N111,C111,"-15.6655,45.397875,0",T315
N112,C112,"-16.7328,49.3246,0",T316
N113,C113,"-42.222286,12.509714,4.57",T317
N114,C114,"-27.91925,54.856,0",T318
N115,C115,"-33.290857,50.798857,0",T319
N116,C116,"-26.54875,35.759,0",T320
N117,C117,"-34.712286,36.388286,0","T321,T322"
N118,C118,"-41.522333,36.027444,0",T323
N119,C119,"-41.6175,26.583,0",T324
N120,C120,"-32.602,27.220857,0","T325,T326"
N121,C121,"-26.54925,27.631,0",T327
N122,C122,"-46.916,55.47775,0",T328
N123,C123,"-39.947444,0.883111,0",T329
N124,C124,"-25.686,8.523625,0",T330
N125,C125,"-21.04875,9.05525,0",T331
N126,C126,"-12.598,22.125111,0",T332
N127,C127,"-1.092,41.549,4.57",T333
N128,C128,"-22.027,27.79275,4.57",T334
N129,C129,"-29.339875,25.753,4.57",T335
N130,C130,"-18.078857,25.056286,4.57","T336,T337"
N131,C131,"-15.074571,24.263143,4.57","T338,T339"
N132,C132,"-13.608667,20.050889,4.57",T340
N133,C133,"-16.19,16.411778,4.57",T341
N134,C134,"-14.263,17.086375,4.57",T342
N135,C135,"-36.999375,51.59575,4.57","T343,T463,T468"
N136,C136,"-9.068333,35.3225,9.25",
N137,C137,"-9.068333,28.068,9.25",
N138,C138,"-25.332,43.011286,0","T344,T345"
N139,C139,"-37.730571,43.023143,0",T346
N140,C140,"-27.130143,19.859857,0",T347
N141,C141,"-26.551429,48.708857,4.57",T348
N142,C142,"-22.953,49.024333,4.57",
N143,C143,"-19.683429,48.708857,4.57",
N144,C144,"-15.805667,49.024333,4.57",
N145,C145,"-8.9916,48.845,4.57",
N146,C146,"-21.576,36.700714,4.57",T349
N147,C147,"-5.977125,36.54725,0",
N148,C148,"-5.86175,43.34725,0",T350
N149,C149,"-6.047714,45.285143,0",T351
N150,C150,"-1.4605,49.30275,0",T352
N151,C151,"-36.118625,45.71325,0",
N152,C152,"-27.879714,50.847429,0",T353
N153,C153,"-37.99225,36.03225,0",
N154,C154,"-44.681143,36.530857,0",T354
N155,C155,"-37.992857,26.295714,0",T355
N156,C156,"-41.36075,47.0035,0",T356
N157,C157,"-39.575,14.381667,0","T357,T358"
N158,C158,"-6.335333,18.8,0",T359
N159,C159,"-15.444857,11.165143,0","T360,T464,T469"
N160,C160,"-1.6254,44.1696,4.57","T361,T362,T363"
N161,C161,"-26.108857,44.238571,4.57",T364
N162,C162,"-39.118,48.401286,4.57",T365
N163,C163,"-34.779,19.536333,4.57","T366,T367"
N164,C164,"-45.318857,19.262286,4.57",T368
N165,C165,"-35.6455,10.99725,4.57",T369
N166,C166,"-32.831286,11.553,4.57",T370
N167,C167,"-6.551714,16.628857,4.57",T371
N168,C168,"-1.239769,31.535846,9.25",
N169,C169,"-40.424333,6.484333,0",T372
N170,C170,"-34.705667,43.663,4.57",T373
N171,C171,"-32.440333,36.314333,0",T374
N172,C172,"-33.237667,49.024333,4.57",T375
N173,C173,"-13.098,48.845,4.57",
N174,C174,"-41.079571,54.928857,0",T376
N175,C175,"-13.586857,41.400571,0",T377
N176,C176,"-6.293667,16.9,0",T378
N177,C177,"-21.979,40.054,4.57",T379
N178,C178,"-1.049714,13.585,4.57",T380
N179,C179,"-39.869,27.261,0","T381,T382"
N180,C180,"-50.870333,45.851,0",T383
N181,C181,"-50.758667,55.175,0",T384
N182,C182,"-38.44,53.448,0",T385
N183,C183,"-21.536667,13.681333,0",T386
N184,C184,"-21.001,18.093667,0",T387
N185,C185,"-23.844667,16.737333,0",T388
N186,C186,"-33.5,14.0176,0","T389,T390"
N187,C187,"-45.358,16.014,0",T391
N188,C188,"-46.045333,0.878,0",T392
N189,C189,"-21.036333,0.932667,0",T393
N190,C190,"-6.121333,20.7,0",T394
N191,C191,"-9.4916,11.548,0",T395
N192,C192,"-16.188,20.2535,0",T396
N193,C193,"-16.391333,16.5845,0",T397
N194,C194,"-16.190333,39.463333,0","T465,T470"
N195,C195,"-16.7602,44.1664,4.57",
N196,C196,"-11.026714,44.360714,4.57",T398
N197,C197,"-35.9655,48.3685,4.57",T399
N198,C198,"-41.336,19.536333,4.57",T400
N199,C199,"-42.06225,10.35125,4.57",T401
N200,C200,"-30.445667,12.294,4.57",T402
N201,C201,"-27.187333,11.238333,4.57",T403
N202,C202,"-10.254667,20.061,4.57",T404
N203,C203,"-16.280857,20.562,4.57",T405
N204,C204,"-1.366857,12.06,4.57",T406
N205,C205,"-35.172,-4.533833,0",T407
N206,C206,"-16.5825,26.6645,0",
N207,C207,"-9.056,16.7196,4.57",T408
N208,C208,"-28.5,36.8616,0",T409
N209,C209,"-30.817667,43.407667,0",T410
N210,C210,"-37.3884,21.0496,0",T411
N211,C211,"-30.92,20.2404,0",T412
N212,C212,"-28.5,26.5284,0",T413
N213,C213,"-37.9312,13.1716,0",T414
N214,C214,"-41.566,12.8396,0",T415
N215,C215,"-5.9388,21.479,4.57",T416
N216,C216,"-1.6732,45.236,0",T417
N217,C217,"-12.3592,48.5726,0",T418
N218,C218,"-30.2352,55.1638,0",T419
N219,C219,"-41.608667,40.38,0",T420
N220,C220,"-45.465667,27.246333,0",T421
N221,C221,"-43.69,55.034,0",T422
N222,C222,"-24.88,1.0672,0",T423
N223,C223,"-23.365,8.1295,0","T424,T425"
N224,C224,"-8.0516,11.053,0",T426
N225,C225,"-10.8016,24.5436,0",T427
N226,C226,"-11.06,11.046,0",T428
N227,C227,"-8.4076,40.5824,4.57",T429
N228,C228,"-2.4264,47.862,4.57",T430
N229,C229,"-41.738,40.356,4.57",T431
N230,C230,"-36.8764,40.22,4.57",T432
N231,C231,"-39.120333,19.536333,4.57",T433
N232,C232,"-8.399667,27.067667,4.57",T434
N233,C233,"-11.6236,16.7196,4.57",T435
N234,C234,"-10.3104,11.046,4.57",T436
N235,C235,"-1.7532,16.1426,4.57",T437
N236,C236,"-1.3134,19.502,4.57",T438
N237,C237,"-15.1056,11.714,4.57","T439,T466,T469"
N238,C238,"-24.343,13.67,0",T440
N239,C239,"-29.773,48.576,4.57",T441
N240,C240,"-37.268,37.86,0",T442
N241,C241,"-6.267,22.465,0",T443
N242,C242,"-35.7205,13.435,0",T444
N243,C243,"-41.87,23.437,0",T445
N244,C244,"-8.177,21.514,4.57",T446
N245,C245,"-11.245,46.4045,0",T447
N246,C246,"-13.569333,39.415667,0",
N247,C247,"-31.637,46.507,0",T448
N248,C248,"-45.0195,46.967,0",T449
N249,C249,"-21.37,16.292,0",T450
N250,C250,"-41.055,4.195,0",T451
N251,C251,"-39.26,4.195,0",T452
N252,C252,"-1.103,12.127,0",T453
N253,C253,"-3.71,12.127,0",T454
N254,C254,"-51.7445,14.345,0",T455
N255,C255,"-21.5275,43.257,4.57",T456
N256,C256,"-22.198,22.369,4.57",T457
N257,C257,"-22.198,24.804,4.57",T458
N258,C258,"-0.9755,24.034,4.57",T459
N259,C259,"-10.972,26.496,4.57",T460
N260,C260,"-4.175,11.4975,4.57",T461
N261,C261,"-21.2905,39.48,0",
N262,C262,"-26.5408,38.0568,0",
N263,C263,"-26.656,25.522,0",
N264,C264,"-16.6625,39.646,4.57","T467,T470"
SD1,B1,"-38.658,53.448,0.000","T121,T385,T462"
SD2,B2,"-12.859,44.052,0.000","T240,T254,T62"
SD3,B3,"-15.258,37.058,0.000","T222,T283,T465"
SD4,B4,"-37.122,44.982,4.570","T200,T241"
SD5,B5,"-33.488,30.159,4.570","T160,T29"
SD6,B6,"-9.432,12.718,0.000","T300,T395"
SD7,B7,"-31.662,50.501,0.000","T285,T319"
SD8,B8,"-3.693,34.842,0.000","T1,T153"
SD9,B9,"-7.112,19.335,0.000","T34,T359"
SD10,B10,"-42.509,11.156,4.570","T317,T401"
SD11,B11,"-49.012,53.202,0.000","T384,T75"
SD12,B12,"-47.813,53.202,0.000","T328,T76"
SD13,B13,"-44.613,53.202,0.000","T422,T77"
SD14,B14,"-40.475,53.781,0.000","T122,T376"
SD15,B15,"-40.475,52.642,0.000","T123,T78"
SD16,B16,"-37.693,50.837,0.000","T124,T224"
SD17,B17,"-31.662,53.161,0.000","T242,T286"
SD18,B18,"-29.828,53.331,0.000","T287,T318"
SD19,B19,"-27.228,49.922,0.000","T353,T55"
SD20,B20,"-31.043,54.349,0.000","T288,T419"
SD21,B21,"-32.887,48.088,0.000","T289,T56"
SD22,B22,"-27.768,48.088,0.000","T290,T57"
SD23,B23,"-22.918,48.088,0.000","T205,T58"
SD24,B24,"-21.118,48.707,0.000","T164,T59"
SD25,B25,"-18.058,48.685,0.000","T165,T316"
SD26,B26,"-18.058,45.722,0.000","T166,T315"
SD27,B27,"-10.732,48.216,0.000","T418,T63"
SD28,B28,"-10.732,46.231,0.000","T447,T64"
SD29,B29,"-4.362,47.791,0.000","T154,T259"
SD30,B30,"-2.978,47.591,0.000","T155,T352"
SD31,B31,"-2.978,44.631,0.000","T156,T417"
SD32,B32,"-4.362,44.781,0.000","T157,T351"
SD33,B33,"-4.362,41.871,0.000","T158,T350"
SD34,B34,"-12.622,37.058,0.000","T284,T65"
SD35,B35,"-14.679,42.218,0.000","T255,T377"
SD36,B36,"-18.058,43.432,0.000","T167,T256"
SD37,B37,"-19.293,42.218,0.000","T168,T223"
SD38,B38,"-24.308,37.392,0.000","T260,T309"
SD39,B39,"-24.908,35.418,0.000","T261,T4"
SD40,B40,"-23.133,40.722,0.000","T310,T66"
SD41,B41,"-24.332,40.722,0.000","T344,T67"
SD42,B42,"-23.752,42.281,0.000","T311,T345"
SD43,B43,"-28.569,40.722,0.000","T279,T68"
SD44,B44,"-29.768,40.722,0.000","T410,T69"
SD45,B45,"-36.108,40.722,0.000","T346,T70"
SD46,B46,"-34.909,40.722,0.000","T258,T71"
SD47,B47,"-36.112,38.308,0.000","T321,T442"
SD48,B48,"-34.152,38.888,0.000","T322,T72"
SD49,B49,"-30.982,38.888,0.000","T374,T73"
SD50,B50,"-29.783,38.888,0.000","T409,T74"
SD51,B51,"-39.278,36.439,0.000","T188,T5"
SD52,B52,"-42.669,34.842,0.000","T323,T6"
SD53,B53,"-43.868,34.842,0.000","T354,T7"
SD54,B54,"-47.788,44.802,0.000","T126,T79"
SD55,B55,"-48.767,45.381,0.000","T383,T80"
SD56,B56,"-46.213,49.132,0.000","T449,T81"
SD57,B57,"-48.563,34.062,0.000","T220,T8"
SD58,B58,"-48.563,29.328,0.000","T221,T9"
SD59,B59,"-47.788,28.548,0.000","T10,T292"
SD60,B60,"-38.658,26.525,0.000","T355,T381"
SD61,B61,"-32.763,28.548,0.000","T11,T325"
SD62,B62,"-40.492,23.101,0.000","T171,T445"
SD63,B63,"-40.492,21.902,0.000","T170,T172"
SD64,B64,"-36.102,22.668,0.000","T128,T411"
SD65,B65,"-34.903,22.668,0.000","T129,T280"
SD66,B66,"-29.762,22.668,0.000","T130,T412"
SD67,B67,"-28.563,22.668,0.000","T131,T347"
SD68,B68,"-25.393,22.668,0.000","T132,T312"
SD69,B69,"-24.308,26.323,0.000","T238,T263"
SD70,B70,"-9.352,26.597,0.000","T207,T35"
SD71,B71,"-9.352,25.398,0.000","T36,T427"
SD72,B72,"-8.137,27.582,0.000","T2,T37"
SD73,B73,"-3.732,26.581,0.000","T206,T266"
SD74,B74,"-3.732,25.382,0.000","T267,T303"
SD75,B75,"-2.517,27.582,0.000","T268,T3"
SD76,B76,"-1.898,25.947,0.000","T269,T282"
SD77,B77,"-3.112,24.478,0.000","T270,T82"
SD78,B78,"-7.518,22.127,0.000","T38,T443"
SD79,B79,"-7.518,20.471,0.000","T39,T394"
SD80,B80,"-5.361,15.902,0.000","T378,T83"
SD81,B81,"-1.832,14.068,0.000","T453,T84"
SD82,B82,"-4.388,14.068,0.000","T454,T85"
SD83,B83,"-5.587,14.068,0.000","T250,T86"
SD84,B84,"-6.518,14.687,0.000","T40,T87"
SD85,B85,"-16.618,13.890,0.000","T301,T88"
SD86,B86,"-17.768,12.118,0.000","T360,T464,T89"
SD87,B87,"-9.352,18.811,0.000","T271,T41"
SD88,B88,"-9.352,21.943,0.000","T332,T42"
SD89,B89,"-17.768,15.111,0.000","T397,T90"
SD90,B90,"-17.768,19.302,0.000","T396,T91"
SD91,B91,"-19.892,15.911,0.000","T450,T92"
SD92,B92,"-22.229,12.042,0.000","T17,T386"
SD93,B93,"-23.468,12.042,0.000","T18,T440"
SD94,B94,"-22.448,9.588,0.000","T331,T424"
SD95,B95,"-20.892,10.827,0.000","T19,T93"
SD96,B96,"-23.663,5.972,0.000","T295,T425"
SD97,B97,"-27.028,7.031,0.000","T116,T330"
SD98,B98,"-23.612,2.842,0.000","T296,T423"
SD99,B99,"-22.413,2.842,0.000","T297,T393"
SD100,B100,"-38.317,5.278,0.000","T117,T452"
SD101,B101,"-39.883,10.225,0.000","T20,T245"
SD102,B102,"-38.079,12.042,0.000","T21,T414"
SD103,B103,"-35.392,12.042,0.000","T22,T444"
SD104,B104,"-41.092,13.998,0.000","T298,T415"
SD105,B105,"-38.658,15.427,0.000","T278,T357"
SD106,B106,"-40.492,17.822,0.000","T173,T299"
SD107,B107,"-31.532,16.207,0.000","T196,T293"
SD108,B108,"-31.532,15.008,0.000","T197,T389"
SD109,B109,"-32.112,12.042,0.000","T23,T390"
SD110,B110,"-30.913,12.042,0.000","T198,T24"
SD111,B111,"-39.873,16.752,0.000","T174,T358"
SD112,B112,"-46.153,12.042,0.000","T25,T391"
SD113,B113,"-48.128,10.225,0.000","T142,T26"
SD114,B114,"-46.213,10.225,0.000","T244,T27"
SD115,B115,"-47.388,6.428,0.000","T143,T294"
SD116,B116,"-26.142,27.352,0.000","T264,T327"
SD117,B117,"-24.908,27.972,0.000","T12,T265"
SD118,B118,"-39.769,46.816,4.570","T230,T365"
SD119,B119,"-37.603,49.956,4.570","T201,T343,T463"
SD120,B120,"-39.022,45.602,4.570","T202,T231"
SD121,B121,"-43.538,45.816,4.570","T181,T232"
SD122,B122,"-41.468,45.016,4.570","T233,T304"
SD123,B123,"-25.432,44.982,4.570","T176,T364"
SD124,B124,"-27.708,44.982,4.570","T147,T186"
SD125,B125,"-27.122,46.197,4.570","T148,T177"
SD126,B126,"-23.372,44.982,4.570","T178,T208"
SD127,B127,"-20.848,44.982,4.570","T179,T456"
SD128,B128,"-18.678,43.977,4.570","T225,T32"
SD129,B129,"-2.349,46.326,4.570","T361,T430"
SD130,B130,"-4.208,43.352,4.570","T183,T362"
SD131,B131,"-2.689,42.732,4.570","T333,T363"
SD132,B132,"-8.192,44.038,4.570","T251,T252"
SD133,B133,"-10.442,44.363,4.570","T253,T398"
SD134,B134,"-12.478,44.982,4.570","T144,T33"
SD135,B135,"-10.943,40.697,4.570","T145,T429"
SD136,B136,"-4.208,39.509,4.570","T184,T229"
SD137,B137,"-4.828,38.882,4.570","T185,T237"
SD138,B138,"-21.233,37.136,4.570","T226,T349"
SD139,B139,"-31.548,36.683,4.570","T192,T257"
SD140,B140,"-34.778,44.982,4.570","T149,T373"
SD141,B141,"-33.382,40.477,4.570","T193,T432"
SD142,B142,"-42.939,38.456,4.570","T30,T431"
SD143,B143,"-32.763,34.796,4.570","T161,T194"
SD144,B144,"-43.668,17.952,4.570","T272,T368"
SD145,B145,"-32.763,18.286,4.570","T162,T44"
SD146,B146,"-33.382,19.732,4.570","T163,T366"
SD147,B147,"-27.003,21.796,4.570","T209,T335"
SD148,B148,"-24.753,21.216,4.570","T210,T234"
SD149,B149,"-24.133,22.943,4.570","T211,T457"
SD150,B150,"-24.133,24.142,4.570","T212,T458"
SD151,B151,"-24.133,26.666,4.570","T213,T334"
SD152,B152,"-19.273,22.912,4.570","T136,T336"
SD153,B153,"-16.768,24.927,4.570","T337,T338"
SD154,B154,"-12.948,23.532,4.570","T105,T339"
SD155,B155,"-12.393,22.912,4.570","T106,T340"
SD156,B156,"-11.772,24.746,4.570","T107,T460"
SD157,B157,"-9.808,22.912,4.570","T108,T404"
SD158,B158,"-8.609,22.912,4.570","T109,T446"
SD159,B159,"-7.271,24.746,4.570","T110,T434"
SD160,B160,"-6.072,24.746,4.570",T111
SD161,B161,"-5.262,20.696,4.570","T214,T416"
SD162,B162,"-4.048,21.339,4.570","T112,T215"
SD163,B163,"-3.428,22.743,4.570","T113,T276"
SD164,B164,"-3.232,24.746,4.570",T114
SD165,B165,"-1.748,24.127,4.570","T115,T459"
SD166,B166,"-3.428,18.485,4.570","T216,T438"
SD167,B167,"-5.262,19.497,4.570","T217,T249"
SD168,B168,"-3.428,15.546,4.570","T218,T437"
SD169,B169,"-5.262,16.603,4.570","T219,T371"
SD170,B170,"-2.402,13.366,4.570","T380,T96"
SD171,B171,"-2.957,12.718,4.570","T406,T97"
SD172,B172,"-4.259,12.718,4.570","T461,T98"
SD173,B173,"-9.709,14.586,4.570","T408,T99"
SD174,B174,"-12.233,14.586,4.570","T100,T435"
SD175,B175,"-13.432,14.586,4.570","T101,T342"
SD176,B176,"-17.768,15.166,4.570","T137,T341"
SD177,B177,"-17.768,19.342,4.570","T138,T405"
SD178,B178,"-43.048,15.797,4.570","T273,T45"
SD179,B179,"-43.668,13.642,4.570","T248,T274"
SD180,B180,"-40.429,13.642,4.570","T275,T46"
SD181,B181,"-37.663,13.642,4.570","T369,T47"
SD182,B182,"-32.027,13.642,4.570","T370,T48"
SD183,B183,"-29.497,13.642,4.570","T402,T49"
SD184,B184,"-28.298,13.642,4.570","T403,T50"
SD185,B185,"-19.892,14.191,4.570","T139,T305"
SD186,B186,"-16.768,13.366,4.570","T102,T140,T466"
SD187,B187,"-17.768,10.862,4.570","T141,T439"
SD188,B188,"-8.978,12.718,4.570","T103,T436"
SD189,B189,"-7.779,12.718,4.570","T104,T277"
SD190,B190,"-14.258,35.812,4.570","T119,T146"
SD191,B191,"-18.627,37.136,4.570","T120,T227,T467"
SD192,B192,"-26.002,14.262,4.570","T306,T51"
SD193,B193,"-36.985,-0.247,0.000","T118,T407"
SD194,B194,"-19.892,17.831,0.000","T387,T94"
SD195,B195,"-20.228,26.530,0.000",T239
SD196,B196,"-31.587,48.088,0.000","T448,T60"
SD197,B197,"-26.142,36.037,0.000","T262,T320"
SD198,B198,"-39.873,24.996,0.000","T175,T382"
SD199,B199,"-47.247,31.729,4.570","T16,T31"
SD200,B200,"-25.838,16.017,0.000","T199,T388"
SD201,B201,"-40.475,41.487,0.000","T127,T189"
SD202,B202,"-40.475,37.521,0.000","T190,T281"
SD203,B203,"-47.788,34.842,0.000","T13,T291"
SD204,B204,"-40.475,48.512,0.000","T356,T61"
SD205,B205,"-43.848,28.548,0.000","T14,T421"
SD206,B206,"-42.669,28.548,0.000","T15,T324"
SD207,B207,"-34.152,24.502,0.000","T133,T313"
SD208,B208,"-32.953,24.502,0.000","T134,T326"
SD209,B209,"-27.811,24.502,0.000","T135,T413"
SD210,B210,"-8.137,12.718,0.000","T426,T43"
SD211,B211,"-10.852,12.718,0.000","T302,T428"
SD212,B212,"-19.273,25.745,0.000",T95
SD213,B213,"-41.978,7.117,0.000","T246,T372"
SD214,B214,"-45.012,46.816,4.570","T182,T314"
SD215,B215,"-35.508,46.816,4.570","T150,T399"
SD216,B216,"-32.098,46.816,4.570","T151,T375"
SD217,B217,"-28.688,46.816,4.570","T152,T441"
SD218,B218,"-25.378,46.816,4.570","T180,T348"
SD219,B219,"-31.548,43.663,4.570","T195,T203"
SD220,B220,"-21.213,38.576,4.570","T228,T379"
SD221,B221,"-42.469,18.286,4.570","T400,T52"
SD222,B222,"-37.782,18.286,4.570","T433,T53"
SD223,B223,"-36.123,18.286,4.570","T367,T54"
SD224,B224,"-20.848,19.382,4.570","T235,T307"
SD225,B225,"-24.983,19.382,4.570","T236,T308"
SD226,B226,"-40.475,40.275,0.000","T191,T420"
SD227,B227,"-39.378,55.421,0.000",T125
SD228,B228,"-41.907,1.812,0.000",T329
SD229,B229,"-41.907,3.151,0.000",T451
SD230,B230,"-51.183,11.482,0.000",T28
SD231,B231,"-43.035,5.786,0.000",T247
SD232,B232,"-43.951,0.524,0.000",T392
SD233,B233,"-52.147,13.985,0.000",T455
SD234,B234,"-52.147,16.805,0.000",T243
SD235,B235,"-18.688,49.976,0.000",T169
SD236,B236,"-3.538,49.976,0.000",T159
SD237,B237,"-27.688,38.922,4.570",T187
SD238,B238,"-30.989,38.922,4.570",T204
