,,,start,end
1,,,"-7.779,12.718,4.57","-8.870143,14.058571,4.57"
1,,,"-12.948,23.532,4.57","-7.718875,23.449688,4.57"
1,,,"-12.393,22.912,4.57","-7.718875,23.449688,4.57"
1,,,"-11.772,24.746,4.57","-7.718875,23.449688,4.57"
1,,,"-9.808,22.912,4.57","-7.718875,23.449688,4.57"
1,,,"-8.609,22.912,4.57","-7.718875,23.449688,4.57"
1,,,"-7.271,24.746,4.57","-7.718875,23.449688,4.57"
1,,,"-6.072,24.746,4.57","-7.718875,23.449688,4.57"
1,,,"-4.048,21.339,4.57","-7.718875,23.449688,4.57"
1,,,"-3.428,22.743,4.57","-7.718875,23.449688,4.57"
1,,,"-3.232,24.746,4.57","-7.718875,23.449688,4.57"
1,,,"-1.748,24.127,4.57","-7.718875,23.449688,4.57"
1,,,"-27.028,7.031,0","-33.65305,4.5675,0"
1,,,"-38.317,5.278,0","-33.65305,4.5675,0"
1,,,"-36.985,-0.247,0","-33.65305,4.5675,0"
1,,,"-14.258,35.812,4.57","-16.913182,33.221182,4.57"
1,,,"-18.627,37.136,4.57","-16.913182,33.221182,4.57"
1,,,"-38.658,53.448,0","-38.923,51.940632,0"
1,,,"-40.475,53.781,0","-38.923,51.940632,0"
1,,,"-40.475,52.642,0","-38.923,51.940632,0"
1,,,"-37.693,50.837,0","-38.923,51.940632,0"
1,,,"-39.378,55.421,0","-38.923,51.940632,0"
1,,,"-47.788,44.802,0","-46.027696,42.53887,0"
1,,,"-40.475,41.487,0","-46.027696,42.53887,0"
1,,,"-36.102,22.668,0","-29.8276,23.890267,0"
1,,,"-34.903,22.668,0","-29.8276,23.890267,0"
1,,,"-29.762,22.668,0","-29.8276,23.890267,0"
1,,,"-28.563,22.668,0","-29.8276,23.890267,0"
1,,,"-25.393,22.668,0","-29.8276,23.890267,0"
1,,,"-34.152,24.502,0","-29.8276,23.890267,0"
1,,,"-32.953,24.502,0","-29.8276,23.890267,0"
1,,,"-27.811,24.502,0","-29.8276,23.890267,0"
1,,,"-19.273,22.912,4.57","-18.96581,16.334762,4.57"
1,,,"-17.768,15.166,4.57","-18.96581,16.334762,4.57"
1,,,"-17.768,19.342,4.57","-18.96581,16.334762,4.57"
1,,,"-19.892,14.191,4.57","-18.96581,16.334762,4.57"
1,,,"-16.768,13.366,4.57","-18.96581,16.334762,4.57"
1,,,"-17.768,10.862,4.57","-18.96581,16.334762,4.57"
1,,,"-48.128,10.225,0","-49.61719,6.209429,0"
1,,,"-47.388,6.428,0","-49.61719,6.209429,0"
1,,,"-12.478,44.982,4.57","-13.247158,40.047,4.57"
1,,,"-10.943,40.697,4.57","-13.247158,40.047,4.57"
1,,,"-14.258,35.812,4.57","-13.247158,40.047,4.57"
1,,,"-27.708,44.982,4.57","-32.295938,45.570625,4.57"
1,,,"-27.122,46.197,4.57","-32.295938,45.570625,4.57"
1,,,"-34.778,44.982,4.57","-32.295938,45.570625,4.57"
1,,,"-35.508,46.816,4.57","-32.295938,45.570625,4.57"
1,,,"-32.098,46.816,4.57","-32.295938,45.570625,4.57"
1,,,"-28.688,46.816,4.57","-32.295938,45.570625,4.57"
1,,,"-3.693,34.842,0","-3.646385,43.071308,0"
1,,,"-4.362,47.791,0","-3.646385,43.071308,0"
1,,,"-2.978,47.591,0","-3.646385,43.071308,0"
1,,,"-2.978,44.631,0","-3.646385,43.071308,0"
1,,,"-4.362,44.781,0","-3.646385,43.071308,0"
1,,,"-4.362,41.871,0","-3.646385,43.071308,0"
1,,,"-3.538,49.976,0","-3.646385,43.071308,0"
1,,,"-33.488,30.159,4.57","-32.497727,25.710364,4.57"
1,,,"-32.763,34.796,4.57","-32.497727,25.710364,4.57"
1,,,"-32.763,18.286,4.57","-32.497727,25.710364,4.57"
1,,,"-33.382,19.732,4.57","-32.497727,25.710364,4.57"
1,,,"-21.118,48.707,0","-19.432133,47.098467,0"
1,,,"-18.058,48.685,0","-19.432133,47.098467,0"
1,,,"-18.058,45.722,0","-19.432133,47.098467,0"
1,,,"-18.058,43.432,0","-19.432133,47.098467,0"
1,,,"-19.293,42.218,0","-19.432133,47.098467,0"
1,,,"-18.688,49.976,0","-19.432133,47.098467,0"
1,,,"-40.492,21.902,0","-45.633222,20.826556,0"
1,,,"-40.492,23.101,0","-39.475875,22.02,0"
1,,,"-40.492,21.902,0","-39.475875,22.02,0"
1,,,"-40.492,17.822,0","-39.475875,22.02,0"
1,,,"-39.873,16.752,0","-39.475875,22.02,0"
1,,,"-39.873,24.996,0","-39.475875,22.02,0"
1,,,"-25.432,44.982,4.57","-23.700182,45.648909,4.57"
1,,,"-27.122,46.197,4.57","-23.700182,45.648909,4.57"
1,,,"-23.372,44.982,4.57","-23.700182,45.648909,4.57"
1,,,"-20.848,44.982,4.57","-23.700182,45.648909,4.57"
1,,,"-25.378,46.816,4.57","-23.700182,45.648909,4.57"
1,,,"-43.538,45.816,4.57","-45.267125,44.341,4.57"
1,,,"-45.012,46.816,4.57","-45.267125,44.341,4.57"
1,,,"-4.208,43.352,4.57","-5.44175,42.380188,4.57"
1,,,"-4.208,39.509,4.57","-5.44175,42.380188,4.57"
1,,,"-4.828,38.882,4.57","-5.44175,42.380188,4.57"
1,,,"-27.708,44.982,4.57","-28.042235,41.716765,4.57"
1,,,"-27.688,38.922,4.57","-28.042235,41.716765,4.57"
1,,,"-39.278,36.439,0","-39.35925,39.824313,0"
1,,,"-40.475,41.487,0","-39.35925,39.824313,0"
1,,,"-40.475,37.521,0","-39.35925,39.824313,0"
1,,,"-40.475,40.275,0","-39.35925,39.824313,0"
1,,,"-31.548,36.683,4.57","-32.299824,38.999941,4.57"
1,,,"-33.382,40.477,4.57","-32.299824,38.999941,4.57"
1,,,"-32.763,34.796,4.57","-32.299824,38.999941,4.57"
1,,,"-31.548,43.663,4.57","-32.299824,38.999941,4.57"
1,,,"-31.532,16.207,0","-27.755333,16.959667,0"
1,,,"-31.532,15.008,0","-27.755333,16.959667,0"
1,,,"-30.913,12.042,0","-27.755333,16.959667,0"
1,,,"-25.838,16.017,0","-27.755333,16.959667,0"
1,,,"-37.122,44.982,4.57","-37.689286,47.313857,4.57"
1,,,"-37.603,49.956,4.57","-37.689286,47.313857,4.57"
1,,,"-39.022,45.602,4.57","-37.689286,47.313857,4.57"
1,,,"-31.548,43.663,4.57","-30.411529,40.804765,4.57"
1,,,"-30.989,38.922,4.57","-30.411529,40.804765,4.57"
1,,,"-22.918,48.088,0","-23.006133,45.815333,0"
1,,,"-3.732,26.581,0","-5.644667,27.900833,0"
1,,,"-9.352,26.597,0","-12.052429,26.930929,0"
1,,,"-23.372,44.982,4.57","-25.400111,40.155333,4.57"
1,,,"-27.003,21.796,4.57","-25.1758,26.228,4.57"
1,,,"-24.753,21.216,4.57","-25.1758,26.228,4.57"
1,,,"-24.133,22.943,4.57","-25.1758,26.228,4.57"
1,,,"-24.133,24.142,4.57","-25.1758,26.228,4.57"
1,,,"-24.133,26.666,4.57","-25.1758,26.228,4.57"
1,,,"-5.262,20.696,4.57","-4.1686,17.839,4.57"
1,,,"-4.048,21.339,4.57","-4.1686,17.839,4.57"
1,,,"-3.428,18.485,4.57","-4.1686,17.839,4.57"
1,,,"-5.262,19.497,4.57","-4.1686,17.839,4.57"
1,,,"-3.428,15.546,4.57","-4.1686,17.839,4.57"
1,,,"-5.262,16.603,4.57","-4.1686,17.839,4.57"
1,,,"-48.563,34.062,0","-50.405286,31.695,0"
1,,,"-48.563,29.328,0","-50.405286,31.695,0"
1,,,"-15.258,37.058,0","-18.318833,37.4765,0"
1,,,"-19.293,42.218,0","-18.318833,37.4765,0"
1,,,"-37.693,50.837,0","-37.02975,52.694583,0"
1,,,"-18.678,43.977,4.57","-19.665455,39.366,4.57"
1,,,"-21.233,37.136,4.57","-19.665455,39.366,4.57"
1,,,"-18.627,37.136,4.57","-19.665455,39.366,4.57"
1,,,"-21.213,38.576,4.57","-19.665455,39.366,4.57"
1,,,"-4.208,39.509,4.57","-2.027385,36.018692,4.57"
1,,,"-39.769,46.816,4.57","-41.2031,45.916,4.57"
1,,,"-39.022,45.602,4.57","-41.2031,45.916,4.57"
1,,,"-43.538,45.816,4.57","-41.2031,45.916,4.57"
1,,,"-41.468,45.016,4.57","-41.2031,45.916,4.57"
1,,,"-24.753,21.216,4.57","-24.311286,20.173,4.57"
1,,,"-20.848,19.382,4.57","-24.311286,20.173,4.57"
1,,,"-24.983,19.382,4.57","-24.311286,20.173,4.57"
1,,,"-4.828,38.882,4.57","-8.286091,37.625,4.57"
1,,,"-24.308,26.323,0","-21.782167,26.059083,0"
1,,,"-20.228,26.53,0","-21.782167,26.059083,0"
1,,,"-12.859,44.052,0","-13.0135,45.2969,0"
1,,,"-37.122,44.982,4.57","-39.246462,43.972462,4.57"
1,,,"-31.662,53.161,0","-33.740727,55.345909,0"
1,,,"-52.147,16.805,0","-50.656615,14.759154,0"
1,,,"-46.213,10.225,0","-45.749636,8.656091,0"
1,,,"-39.883,10.225,0","-40.247636,9.624636,0"
1,,,"-41.978,7.117,0","-43.2494,7.5681,0"
1,,,"-43.035,5.786,0","-43.2494,7.5681,0"
1,,,"-43.668,13.642,4.57","-44.861846,11.400538,4.57"
1,,,"-5.262,19.497,4.57","-7.263455,18.988,4.57"
1,,,"-5.587,14.068,0","-6.3226,11.5366,0"
1,,,"-8.192,44.038,4.57","-7.110833,43.922833,4.57"
1,,,"-8.192,44.038,4.57","-10.119556,43.238,4.57"
1,,,"-10.442,44.363,4.57","-10.119556,43.238,4.57"
1,,,"-12.859,44.052,0","-15.609875,43.135,0"
1,,,"-14.679,42.218,0","-15.609875,43.135,0"
1,,,"-18.058,43.432,0","-15.609875,43.135,0"
1,,,"-31.548,36.683,4.57","-28.9929,35.8551,4.57"
1,,,"-34.909,40.722,0","-33.864182,43.985455,0"
1,,,"-4.362,47.791,0","-5.691455,49.490727,0"
1,,,"-24.308,37.392,0","-25.431,37.180625,0"
1,,,"-24.908,35.418,0","-25.431,37.180625,0"
1,,,"-26.142,36.037,0","-25.431,37.180625,0"
1,,,"-24.308,26.323,0","-25.306222,26.165333,0"
1,,,"-26.142,27.352,0","-25.306222,26.165333,0"
1,,,"-24.908,27.972,0","-25.306222,26.165333,0"
1,,,"-3.732,26.581,0","-2.815,25.908333,0"
1,,,"-3.732,25.382,0","-2.815,25.908333,0"
1,,,"-2.517,27.582,0","-2.815,25.908333,0"
1,,,"-1.898,25.947,0","-2.815,25.908333,0"
1,,,"-3.112,24.478,0","-2.815,25.908333,0"
