,,,start,end
1,,,"-46.213,49.132,0","-45.0195,46.967,0"
1,,,"-19.892,15.911,0","-21.37,16.292,0"
1,,,"-41.907,3.151,0","-41.055,4.195,0"
1,,,"-38.317,5.278,0","-39.26,4.195,0"
1,,,"-1.832,14.068,0","-1.103,12.127,0"
1,,,"-4.388,14.068,0","-3.71,12.127,0"
1,,,"-52.147,13.985,0","-51.7445,14.345,0"
1,,,"-20.848,44.982,4.57","-21.5275,43.257,4.57"
1,,,"-24.133,22.943,4.57","-22.198,22.369,4.57"
1,,,"-24.133,24.142,4.57","-22.198,24.804,4.57"
1,,,"-1.748,24.127,4.57","-0.9755,24.034,4.57"
1,,,"-11.772,24.746,4.57","-10.972,26.496,4.57"
1,,,"-4.259,12.718,4.57","-4.175,11.4975,4.57"
1,,,"-37.02975,52.694583,0","-38.658,53.448,0"
1,,,"-36.999375,51.59575,4.57","-37.603,49.956,4.57"
1,,,"-15.444857,11.165143,0","-17.768,12.118,0"
1,,,"-16.190333,39.463333,0","-15.258,37.058,0"
1,,,"-15.1056,11.714,4.57","-16.768,13.366,4.57"
1,,,"-16.6625,39.646,4.57","-18.627,37.136,4.57"
1,,,"-36.999375,51.59575,4.57","-37.02975,52.694583,0"
1,,,"-15.1056,11.714,4.57","-15.444857,11.165143,0"
1,,,"-16.6625,39.646,4.57","-16.190333,39.463333,0"
