TRANSITION,weight,Unnamed: 1,Unnamed: 2,start,end
T353,1,SD19,N152,"-27.228,49.922,0","-27.879714,50.847429,0"
T354,1,SD53,N154,"-43.868,34.842,0","-44.681143,36.530857,0"
T355,1,SD60,N155,"-38.658,26.525,0","-37.992857,26.295714,0"
T356,1,SD204,N156,"-40.475,48.512,0","-41.36075,47.0035,0"
T357,1,SD105,N157,"-38.658,15.427,0","-39.575,14.381667,0"
T358,1,SD111,N157,"-39.873,16.752,0","-39.575,14.381667,0"
T359,1,SD9,N158,"-7.112,19.335,0","-6.335333,18.8,0"
T360,1,SD86,N159,"-17.768,12.118,0","-15.444857,11.165143,0"
T361,1,SD129,N160,"-2.349,46.326,4.57","-1.6254,44.1696,4.57"
T362,1,SD130,N160,"-4.208,43.352,4.57","-1.6254,44.1696,4.57"
T363,1,SD131,N160,"-2.689,42.732,4.57","-1.6254,44.1696,4.57"
T364,1,SD123,N161,"-25.432,44.982,4.57","-26.108857,44.238571,4.57"
T365,1,SD118,N162,"-39.769,46.816,4.57","-39.118,48.401286,4.57"
T366,1,SD146,N163,"-33.382,19.732,4.57","-34.779,19.536333,4.57"
T367,1,SD223,N163,"-36.123,18.286,4.57","-34.779,19.536333,4.57"
T368,1,SD144,N164,"-43.668,17.952,4.57","-45.318857,19.262286,4.57"
T369,1,SD181,N165,"-37.663,13.642,4.57","-35.6455,10.99725,4.57"
T370,1,SD182,N166,"-32.027,13.642,4.57","-32.831286,11.553,4.57"
T371,1,SD169,N167,"-5.262,16.603,4.57","-6.551714,16.628857,4.57"
T372,1,SD213,N169,"-41.978,7.117,0","-40.424333,6.484333,0"
T373,1,SD140,N170,"-34.778,44.982,4.57","-34.705667,43.663,4.57"
T374,1,SD49,N171,"-30.982,38.888,0","-32.440333,36.314333,0"
T375,1,SD216,N172,"-32.098,46.816,4.57","-33.237667,49.024333,4.57"
T376,1,SD14,N174,"-40.475,53.781,0","-41.079571,54.928857,0"
T377,1,SD35,N175,"-14.679,42.218,0","-13.586857,41.400571,0"
T378,1,SD80,N176,"-5.361,15.902,0","-6.293667,16.9,0"
T379,1,SD220,N177,"-21.213,38.576,4.57","-21.979,40.054,4.57"
T380,1,SD170,N178,"-2.402,13.366,4.57","-1.049714,13.585,4.57"
T381,1,SD60,N179,"-38.658,26.525,0","-39.869,27.261,0"
T382,1,SD198,N179,"-39.873,24.996,0","-39.869,27.261,0"
T383,1,SD55,N180,"-48.767,45.381,0","-50.870333,45.851,0"
T384,1,SD11,N181,"-49.012,53.202,0","-50.758667,55.175,0"
T385,1,SD1,N182,"-38.658,53.448,0","-38.44,53.448,0"
T386,1,SD92,N183,"-22.229,12.042,0","-21.536667,13.681333,0"
T387,1,SD194,N184,"-19.892,17.831,0","-21.001,18.093667,0"
T388,1,SD200,N185,"-25.838,16.017,0","-23.844667,16.737333,0"
T389,1,SD108,N186,"-31.532,15.008,0","-33.5,14.0176,0"
T390,1,SD109,N186,"-32.112,12.042,0","-33.5,14.0176,0"
T391,1,SD112,N187,"-46.153,12.042,0","-45.358,16.014,0"
T392,1,SD232,N188,"-43.951,0.524,0","-46.045333,0.878,0"
T393,1,SD99,N189,"-22.413,2.842,0","-21.036333,0.932667,0"
T394,1,SD79,N190,"-7.518,20.471,0","-6.121333,20.7,0"
T395,1,SD6,N191,"-9.432,12.718,0","-9.4916,11.548,0"
T396,1,SD90,N192,"-17.768,19.302,0","-16.188,20.2535,0"
T397,1,SD89,N193,"-17.768,15.111,0","-16.391333,16.5845,0"
T398,1,SD133,N196,"-10.442,44.363,4.57","-11.026714,44.360714,4.57"
T399,1,SD215,N197,"-35.508,46.816,4.57","-35.9655,48.3685,4.57"
T400,1,SD221,N198,"-42.469,18.286,4.57","-41.336,19.536333,4.57"
T401,1,SD10,N199,"-42.509,11.156,4.57","-42.06225,10.35125,4.57"
T402,1,SD183,N200,"-29.497,13.642,4.57","-30.445667,12.294,4.57"
T403,1,SD184,N201,"-28.298,13.642,4.57","-27.187333,11.238333,4.57"
T404,1,SD157,N202,"-9.808,22.912,4.57","-10.254667,20.061,4.57"
T405,1,SD177,N203,"-17.768,19.342,4.57","-16.280857,20.562,4.57"
T406,1,SD171,N204,"-2.957,12.718,4.57","-1.366857,12.06,4.57"
T407,1,SD193,N205,"-36.985,-0.247,0","-35.172,-4.533833,0"
T408,1,SD173,N207,"-9.709,14.586,4.57","-9.056,16.7196,4.57"
T409,1,SD50,N208,"-29.783,38.888,0","-28.5,36.8616,0"
T410,1,SD44,N209,"-29.768,40.722,0","-30.817667,43.407667,0"
T411,1,SD64,N210,"-36.102,22.668,0","-37.3884,21.0496,0"
T412,1,SD66,N211,"-29.762,22.668,0","-30.92,20.2404,0"
T413,1,SD209,N212,"-27.811,24.502,0","-28.5,26.5284,0"
T414,1,SD102,N213,"-38.079,12.042,0","-37.9312,13.1716,0"
T415,1,SD104,N214,"-41.092,13.998,0","-41.566,12.8396,0"
T416,1,SD161,N215,"-5.262,20.696,4.57","-5.9388,21.479,4.57"
T417,1,SD31,N216,"-2.978,44.631,0","-1.6732,45.236,0"
T418,1,SD27,N217,"-10.732,48.216,0","-12.3592,48.5726,0"
T419,1,SD20,N218,"-31.043,54.349,0","-30.2352,55.1638,0"
T420,1,SD226,N219,"-40.475,40.275,0","-41.608667,40.38,0"
T421,1,SD205,N220,"-43.848,28.548,0","-45.465667,27.246333,0"
T422,1,SD13,N221,"-44.613,53.202,0","-43.69,55.034,0"
T423,1,SD98,N222,"-23.612,2.842,0","-24.88,1.0672,0"
T424,1,SD94,N223,"-22.448,9.588,0","-23.365,8.1295,0"
T425,1,SD96,N223,"-23.663,5.972,0","-23.365,8.1295,0"
T426,1,SD210,N224,"-8.137,12.718,0","-8.0516,11.053,0"
T427,1,SD71,N225,"-9.352,25.398,0","-10.8016,24.5436,0"
T428,1,SD211,N226,"-10.852,12.718,0","-11.06,11.046,0"
T429,1,SD135,N227,"-10.943,40.697,4.57","-8.4076,40.5824,4.57"
T430,1,SD129,N228,"-2.349,46.326,4.57","-2.4264,47.862,4.57"
T431,1,SD142,N229,"-42.939,38.456,4.57","-41.738,40.356,4.57"
T432,1,SD141,N230,"-33.382,40.477,4.57","-36.8764,40.22,4.57"
T433,1,SD222,N231,"-37.782,18.286,4.57","-39.120333,19.536333,4.57"
T434,1,SD159,N232,"-7.271,24.746,4.57","-8.399667,27.067667,4.57"
T435,1,SD174,N233,"-12.233,14.586,4.57","-11.6236,16.7196,4.57"
T436,1,SD188,N234,"-8.978,12.718,4.57","-10.3104,11.046,4.57"
T437,1,SD168,N235,"-3.428,15.546,4.57","-1.7532,16.1426,4.57"
T438,1,SD166,N236,"-3.428,18.485,4.57","-1.3134,19.502,4.57"
T439,1,SD187,N237,"-17.768,10.862,4.57","-15.1056,11.714,4.57"
T440,1,SD93,N238,"-23.468,12.042,0","-24.343,13.67,0"
T441,1,SD217,N239,"-28.688,46.816,4.57","-29.773,48.576,4.57"
T442,1,SD47,N240,"-36.112,38.308,0","-37.268,37.86,0"
T443,1,SD78,N241,"-7.518,22.127,0","-6.267,22.465,0"
T444,1,SD103,N242,"-35.392,12.042,0","-35.7205,13.435,0"
T445,1,SD62,N243,"-40.492,23.101,0","-41.87,23.437,0"
T446,1,SD158,N244,"-8.609,22.912,4.57","-8.177,21.514,4.57"
T447,1,SD28,N245,"-10.732,46.231,0","-11.245,46.4045,0"
T448,1,SD196,N247,"-31.587,48.088,0","-31.637,46.507,0"
T449,1,SD56,N248,"-46.213,49.132,0","-45.0195,46.967,0"
T450,1,SD91,N249,"-19.892,15.911,0","-21.37,16.292,0"
T451,1,SD229,N250,"-41.907,3.151,0","-41.055,4.195,0"
T452,1,SD100,N251,"-38.317,5.278,0","-39.26,4.195,0"
T453,1,SD81,N252,"-1.832,14.068,0","-1.103,12.127,0"
T454,1,SD82,N253,"-4.388,14.068,0","-3.71,12.127,0"
T455,1,SD233,N254,"-52.147,13.985,0","-51.7445,14.345,0"
T456,1,SD127,N255,"-20.848,44.982,4.57","-21.5275,43.257,4.57"
T457,1,SD149,N256,"-24.133,22.943,4.57","-22.198,22.369,4.57"
T458,1,SD150,N257,"-24.133,24.142,4.57","-22.198,24.804,4.57"
T459,1,SD165,N258,"-1.748,24.127,4.57","-0.9755,24.034,4.57"
T460,1,SD156,N259,"-11.772,24.746,4.57","-10.972,26.496,4.57"
T461,1,SD172,N260,"-4.259,12.718,4.57","-4.175,11.4975,4.57"
T462,1,N51,SD1,"-37.02975,52.694583,0","-38.658,53.448,0"
T463,1,N135,SD119,"-36.999375,51.59575,4.57","-37.603,49.956,4.57"
T464,1,N159,SD86,"-15.444857,11.165143,0","-17.768,12.118,0"
T465,1,N194,SD3,"-16.190333,39.463333,0","-15.258,37.058,0"
T466,1,N237,SD186,"-15.1056,11.714,4.57","-16.768,13.366,4.57"
T467,1,N264,SD191,"-16.6625,39.646,4.57","-18.627,37.136,4.57"
T468,1,N135,N51,"-36.999375,51.59575,4.57","-37.02975,52.694583,0"
T469,1,N237,N159,"-15.1056,11.714,4.57","-15.444857,11.165143,0"
T470,1,N264,N194,"-16.6625,39.646,4.57","-16.190333,39.463333,0"

